,log_ret,volatility
0,,
1,0.00927775671997492,
2,-0.046740769853554784,
3,0.00667235416828895,
4,-0.021995466654620977,
5,-0.011151421602434963,
6,0.05620375064752425,
7,-0.024450620591933522,
8,-0.0072158338508064345,
9,0.010804350080733357,
10,-0.006578913711968118,
11,0.0008665624405959034,
12,-0.019079610960931172,
13,-0.007937199006663221,
14,-0.040069712529212986,
15,-0.006250938534798689,
16,0.010766939315474906,
17,-0.00018862552227308816,
18,-0.003359443732508316,
19,0.031039933704757806,
20,-0.009896747040577416,
21,-0.006735512110205266,
22,0.022547941934626285,
23,0.02448643823210371,
24,-0.013701029763807162,
25,-0.02682437130011867,
26,-0.0015253169787767037,
27,-0.022445662439592333,
28,0.02703515475432542,
29,0.00305481484036496,
30,-0.010929501624588705,
31,0.03017002294701725,
32,0.0065648983891309865,
33,-0.002376771894505899,
34,-0.00010003459186697382,
35,-0.023205779242384116,
36,-0.004739369442092583,
37,-0.008675072097485794,
38,-0.014522524335339982,
39,-0.00510671718937138,
40,-0.0012701397001341234,
41,-0.03847872424025988,
42,-0.020707813283904693,
43,-0.012346940973786193,
44,-0.006712104084202056,
45,-0.0011000719314707783,
46,0.03188909066666365,
47,0.014028246079899252,
48,0.023657778401840777,
49,0.017682718748459187,
50,0.027710745801111433,
51,0.004364967729485453,
52,0.005439632958442361,
53,-0.07219767615202989,
54,0.014193530306684674,
55,0.0325212882639831,
56,-0.008528992973341863,
57,0.015192929601975545,
58,0.010770731555428854,
59,-0.002226646165545612,
60,0.0074572458020932125,
61,-0.016950610550361147,
62,0.0013204737015880229,
63,-0.00028868008160049305,
64,0.011402162677875187,
65,-0.0011833548643221381,
66,0.033110456072918605,
67,0.0035094436008246254,
68,-0.015630300545557817,
69,0.010203250391037545,
70,-0.00325056123231737,
71,-0.024050566218851533,
72,0.0005488959888476648,
73,-0.011570491560163758,
74,-0.001563903606978667,
75,0.010101406420821872,
76,-0.0172107837419485,
77,-0.029851069202294647,
78,-0.0127959783107281,
79,0.004427186359193168,
80,-0.027703648894881038,
81,0.0071301668731978286,
82,-0.008038905196559176,
83,0.017256765035736553,
84,-0.01347219410281485,
85,-0.005915548217402208,
86,0.02265162838786766,
87,0.006172120716691443,
88,0.015255045227398439,
89,-0.012624586574840854,
90,0.013219726263472271,
91,0.011829982748499857,
92,-8.401669701041217e-05,
93,0.012792213356045891,
94,-0.0038225890843963757,
95,0.00043703838037005457,
96,0.0008734415741130938,
97,0.0187194769032099,
98,0.036320985268072765,
99,0.01013962805775395,
100,0.004934641856019218,
101,-0.004895685937650256,
102,0.02653964764988008,
103,0.005899589300826148,
104,-0.006127224619247418,
105,0.000985927757172917,
106,-0.0036070527722287943,
107,-0.00032339210834947667,
108,-0.006240700836529779,
109,0.0299480756118741,
110,-0.007234861239450337,
111,-0.008155177950753255,
112,0.011890982027841038,
113,0.004631770917604854,
114,0.004721204071825147,
115,0.0035217961710213457,
116,-0.004371766014778747,
117,0.10605353032735666,
118,0.02667568323513986,
119,-0.016123808364824913,
120,0.0002467063715600433,
121,0.006573903841090986,
122,0.0008820479760326081,
